geneSymbol	logFC	AveExpr	t	P.Value	adj.P.Val	B
P4HA1	1.60911343610836	7.90720172000161	19.6540766787742	1.30991248272242e-14	4.54461036755717e-10	20.5461266886895
AK3L1	2.26036765789547	8.41001635160349	18.1471439354573	6.01326944223824e-14	1.04312185014507e-09	19.5417441579633
HS.10862	3.16537207755426	9.047474985281	16.7686807028119	2.68463936904007e-13	2.99522173769997e-09	18.5026590236461
BNIP3	3.01192766405685	10.6327032511867	16.5459749934394	3.45330228592836e-13	2.99522173769997e-09	18.3228114388178
GPI	2.04254624620649	11.8473239957999	14.7122590025114	3.09177864132782e-12	2.14532336364455e-08	16.6994979280548
LOC647349	1.30620336752794	9.57309063363227	14.2387807337343	5.65289601293899e-12	3.0990741323462e-08	16.2353007464964
ZNF395	2.84436787259569	9.83090882560007	14.1608866035481	6.25281573944295e-12	3.0990741323462e-08	16.1570126995271
FAM57A	1.61654773453598	7.9811043155069	12.8624040175083	3.60541506419664e-11	1.56357837796548e-07	14.7667258210419
ALDOA	1.42512595988248	11.0505070283414	12.6423756038361	4.91974777465706e-11	1.89650810326613e-07	14.5143061380594
PFKFB4	3.74196370717824	9.56801604621851	11.5550693268474	2.43887887679701e-10	8.46144637515953e-07	13.1886881493378
BEND5	2.10520461510663	8.28529851882976	11.4397119601303	2.90965040796428e-10	9.17703738671934e-07	13.0400394319244
ANKRD37	2.91426971362572	8.94020421039375	11.1778699974077	4.36501555468899e-10	1.26199874711983e-06	12.6966523833615
PPFIA4	1.45838467854007	7.51578140976063	10.9804423065411	5.95416706270257e-10	1.58902978518002e-06	12.4321486766003
LOC731007	0.954628359914619	7.15424814796558	10.6936434586896	9.41605980025861e-10	2.33343413364409e-06	12.0391420755735
KISS1R	2.13853414079764	8.3018925857313	10.5494427181275	1.18959882835294e-09	2.55029288696069e-06	11.8375397585789
PGM1	1.26651012978913	10.0903828162525	10.5380907401604	1.21181199831051e-09	2.55029288696069e-06	11.8215537143808
SLC16A3	2.81573414022734	10.5705252619631	10.519249040095	1.24963910411978e-09	2.55029288696069e-06	11.7949832039813
P4HA2	1.15532423632615	7.45094354781584	10.1951810738706	2.13336056643065e-09	4.1119339717636e-06	11.3306173361729
YEATS2	0.878035943528171	8.52475470866707	10.0230225688318	2.84808492963486e-09	5.20060308151326e-06	11.0781779950707
PPME1	0.840018133574974	8.19967856867334	9.67337029005455	5.17612918828047e-09	8.97903130291012e-06	10.5529015990954
DARS	0.610037857214225	12.0144654050244	9.26250737486067	1.0640219054605e-08	1.75786552324032e-05	9.91359153701225
NRN1	0.873100848029252	7.10299191355256	9.02336742961192	1.6339103938566e-08	2.47857971101186e-05	9.53022631393464
UPK1A	1.34908364936605	7.70441157973708	9.02025078108649	1.64314675025286e-08	2.47857971101186e-05	9.52517449691387
