geneSymbol	logFC	AveExpr	t	P.Value	adj.P.Val	B
PPP1R3C	1.21617820687443	6.85491351530469	9.38048261984127	8.63340595021773e-09	0.000151709907394412	9.59566741793669
LOC728816	1.68823057792383	7.32142908239564	9.3731665423836	8.74559908885756e-09	0.000151709907394412	9.58517920291597
LOC440731	0.569455136886906	7.64122452947851	8.90885504083133	2.01152388225114e-08	0.000232626031902737	8.90289594701274
CSF1R	1.04809090760422	7.04018125440739	8.27316406028895	6.57687982570076e-08	0.000570445671682156	7.91415771560939
MGC87042	0.91518953005991	6.91870923640265	8.04847388075553	1.01237922529647e-07	0.00058927938931477	7.54916158649861
FAM150B	1.22785740814646	7.2798219695352	7.99645047668845	1.1197699422503e-07	0.00058927938931477	7.4634796125399
LOC285016	1.27831298692556	7.17498453925193	7.96560362830032	1.18895363036934e-07	0.00058927938931477	7.41246607046215
PLOD2	1.27378080152992	7.1234956838868	7.81597191126221	1.5930989195812e-07	0.000690887173949377	7.1627949735423
GATM	1.25512790712154	6.93702751901352	7.61509929745927	2.37074489304341e-07	0.00088247377631343	6.82183037172558
DHRS9	0.813530389793915	7.11343763094659	7.57982178050052	2.54359190728492e-07	0.00088247377631343	6.7612622498934
TNFRSF21	0.56799223284863	6.70564512680546	7.46058017417492	3.23065572402987e-07	0.00101894881535902	6.5550130616306
MMP12	0.43183705571978	6.60540050948646	7.16665211518114	5.87238796245481e-07	0.00166414743971874	6.03657478686373
CDH3	0.800686097863766	6.83863068120632	7.12735892393045	6.36636520124379e-07	0.00166414743971874	5.96618750579602
RPRC1	-0.68305372408137	11.158293731746	-7.1014546375831	6.71530067333326e-07	0.00166414743971874	5.91964513571973
HS.266775	1.2726046948425	7.15954947045249	7.01917729452595	7.96031296567741e-07	0.00184116732020808	5.77108491617448
CHFR	-0.495436867904754	9.5967801328577	-6.9343098234763	9.49583155845546e-07	0.00205905237555659	5.61668389718285
ODF1	1.52475949658824	7.07344630215353	6.77436941453549	1.32749516444002e-06	0.00270918336676954	5.32250378343074
DTNA	0.270037592784408	6.63461107774859	6.68480492456459	1.60381813604628e-06	0.00302950272875619	5.15595351121991
CTTN	0.564259118769108	6.94377297352725	6.64855746305289	1.73189398239973e-06	0.00302950272875619	5.08818165139544
ZBTB17	0.610456523318419	8.07450249241056	6.62898904209756	1.80536675035297e-06	0.00302950272875619	5.05150686997145
