geneSymbol	logFC	AveExpr	t	P.Value	adj.P.Val	B
P4HA1	1.54080461496209	7.90720172000161	18.8197372353771	3.00486525911681e-14	1.04250795299798e-09	21.2421544854787
ZNF395	3.1643525145315	9.83090882560007	15.7539527723046	8.66449616855435e-13	1.50303015035912e-08	18.5529236256622
BEND5	2.72176159602001	8.28529851882976	14.7900914045053	2.80417891936919e-12	2.63237412529154e-08	17.5670340919323
LOC647349	1.35099213374859	9.57309063363227	14.7270181992043	3.03496180929445e-12	2.63237412529154e-08	17.4998613244136
UPK1A	2.05662494745468	7.70441157973708	13.751017438687	1.07126221508768e-11	7.43327425805042e-08	16.4160334485168
ZSWIM5	0.473043145535601	6.72314665831992	13.37888164595	1.76675293420980e-11	1.02159543832458e-07	15.9797976280072
P4HA2	1.48928918861812	7.45094354781584	13.1422612561148	2.44279846000905e-11	1.2107207110222e-07	15.6954745359783
ANKRD37	3.35269730588877	8.94020421039375	12.859487387411	3.62020051246932e-11	1.36388572199514e-07	15.3484051662587
PPFIA4	1.70689348775476	7.51578140976063	12.8515101272623	3.66096434357702e-11	1.36388572199514e-07	15.3384970139765
AK3L1	1.59444725805755	8.41001635160349	12.8008661725435	3.93118614744663e-11	1.36388572199514e-07	15.2754432121511
YEATS2	1.0956059802033	8.52475470866707	12.5066445708353	5.97227840607119e-11	1.88365660927485e-07	14.9038880638965
BNIP3	2.25741310870919	10.6327032511867	12.4010617161554	6.95235794728513e-11	2.01004255519258e-07	14.7683431585583
PNCK	2.00544100760606	7.44345022676752	12.1678290764541	9.76054546402076e-11	2.60486434099028e-07	14.4647015193805
KISS1R	2.4429314438787	8.3018925857313	12.0510422723007	1.1589784287156e-10	2.87211411470422e-07	14.3104424013821
MOBKL2A	1.19504859483881	9.45719825542365	11.7179091689378	1.90529630798255e-10	4.40682334060978e-07	13.8621154686212
FAM57A	1.44325433468	7.9811043155069	11.483558422729	2.72043661477649e-10	5.89892674456596e-07	13.5391999689073
PPME1	0.977035341252917	8.19967856867334	11.2512150210216	3.89349749980925e-10	7.9459413093166e-07	13.2127572648762
GPI	1.54335261853328	11.8473239957999	11.1166165751384	4.80431355940598e-10	9.26004747944617e-07	13.0207264391468
PPP1R13L	1.08387497992357	7.13110845383476	11.0627015912907	5.22910304340113e-10	9.38497403175334e-07	12.9431976386786
C1ORF165	1.5998009610993	7.25589624400654	11.0410970669938	5.41014240603755e-10	9.38497403175334e-07	12.912032392047
DDX5	-0.843087490636876	11.4743250680495	-10.8836607985321	6.94330119078957e-10	1.14709948339644e-06	12.6832147906083
PTPRF	1.83599616500121	7.33093950589177	10.6980565492749	9.34926388405203e-10	1.47437891451501e-06	12.4095519618655
WSB1	0.971983906889914	8.67143174824043	10.5645257908776	1.16073877119089e-09	1.75089873598682e-06	12.2100173633296
HS.10862	1.9800959707211	9.047474985281	10.4896347981945	1.31159745925992e-09	1.86152948275376e-06	12.0971257569966
PIGK	-0.732939504829239	8.03676853297312	-10.475908789602	1.34139151060253e-09	1.86152948275376e-06	12.0763579709479
FGF11	1.83060808605566	7.59971760175956	10.4320557217333	1.44139230943921e-09	1.92337172244938e-06	12.0098466962758
ARID3A	0.835210928582034	8.59161267279637	10.4036735211527	1.51022529277777e-09	1.94058356694933e-06	11.9666692019578
ACTR1A	-0.813614005929999	9.12092496179087	-10.2849075286603	1.83755805956323e-09	2.27686568994596e-06	11.7848722909237
CSF1R	1.29872313021878	7.04018125440739	10.2515434942112	1.94222248233738e-09	2.32356782076597e-06	11.7334746244324
HS.559770	0.989520587627632	6.90135264683466	10.1800172455763	2.18805617456674e-09	2.53041403068061e-06	11.6228015469357
UBR5	0.859434680473298	8.24009808420621	10.1453272529953	2.31874147901414e-09	2.59504570557795e-06	11.5688858214599
PPP1R3C	1.3104198450409	6.85491351530469	10.1073761325592	2.47105701123952e-09	2.65535296337726e-06	11.5097215898736
C5ORF44	-0.465225756123332	7.09734576225734	-10.0938799237897	2.52770236262941e-09	2.65535296337726e-06	11.4886361127807
PFKFB4	3.26317785231796	9.56801604621851	10.0765932702754	2.60223671974482e-09	2.65535296337726e-06	11.4615938332556
C7ORF68	4.32430883302654	9.70561521359672	10.0020738307266	2.95068888646875e-09	2.92489143506134e-06	11.34456990581
LOC440731	0.637533759338806	7.64122452947851	9.97391274163475	3.09471309654022e-09	2.95624268078845e-06	11.3001555114001
ADM	4.76934258328214	9.0556956772449	9.96295106515463	3.15273474344765e-09	2.95624268078845e-06	11.2828388764121
MGC87042	1.12377749683318	6.91870923640265	9.88286418710515	3.61251406425731e-09	3.29156286026713e-06	11.1558381861567
NRN1	0.954906603785606	7.10299191355256	9.86881775039999	3.70009083848556e-09	3.29156286026713e-06	11.1334755338657
LOC146439	0.920412356261055	7.00463796028428	9.82826909786865	3.96550979140308e-09	3.43948491757346e-06	11.0687721324328
HELZ	0.792921738183129	7.86636058328919	9.78482527980321	4.27195529481541e-09	3.47618122259145e-06	10.9992045984052
MT3	3.39712805240386	8.64443971224294	9.78005116387358	4.3071015952603e-09	3.47618122259145e-06	10.9915442540138
PTPMT1	-0.699882550771511	9.33976677035484	-9.77690111375661	4.33045632673908e-09	3.47618122259145e-06	10.9864881395669
PLOD2	1.59106103807917	7.1234956838868	9.76281662260422	4.43650202069219e-09	3.47618122259145e-06	10.9638649409968
KDM5B	0.932382235109541	8.42000915339937	9.75341418173812	4.50879561355321e-09	3.47618122259145e-06	10.948747422962
UPRT	1.66391927241979	8.70433739652418	9.67293221134797	5.18005164742204e-09	3.90688504034044e-06	10.8188581893309
C15ORF48	2.13214201339667	7.32612229221023	9.5120509976864	6.85209172418349e-09	5.03160708028609e-06	10.5565775473141
VEZT	0.439359783036046	7.72276591871831	9.50300589242693	6.96135181454235e-09	5.03160708028609e-06	10.5417265731537
HPCAL1	1.04052681115241	9.95811803961206	9.40800720543418	8.22453408528243e-09	5.82330582764875e-06	10.3850708989262
C13ORF16	2.70293531126649	7.28243905549887	9.35702127476917	8.99858281321661e-09	6.12919257777748e-06	10.3004802051493
AP3S1	1.32839895490591	9.40741500042848	9.356311255951	9.00988128975187e-09	6.12919257777748e-06	10.2992996736335
GATM	1.53235429174225	6.93702751901352	9.2970844041436	1.00062385208464e-08	6.67608537004318e-06	10.2005782988738
SLC2A1	1.55813876970703	10.0846203076736	9.26571288285962	1.05797281803396e-08	6.92552999035288e-06	10.1480895633244
TMEM206	-0.771148097961177	7.71167499649637	-9.24590298634646	1.09593609213258e-08	7.04118644082364e-06	10.1148743065497
TSKU	1.77780183169821	7.1372352422983	9.20410633044848	1.180750112989e-08	7.44817171273459e-06	10.0446140292944
HERC3	0.584132113107934	7.19948879101619	9.07551409304719	1.48711815335317e-08	9.21322807364906e-06	9.82691382411375
ZBTB17	0.833597992421077	8.07450249241056	9.05209748146385	1.55126409824691e-08	9.44202747799619e-06	9.78702006871309
ASCL2	1.71580382953786	7.46418110963911	8.99547454832434	1.71852875910853e-08	1.02797649600882e-05	9.69023385792395
CHFR	-0.639099641713079	9.5967801328577	-8.94506487265127	1.88319387186604e-08	1.10738183373764e-05	9.60368555833455
ODF1	2.00458618958841	7.07344630215353	8.90619628992885	2.0212974538516e-08	1.16412757081417e-05	9.53670545234031
CCDC64B	0.789678591948578	6.88638763846568	8.89932027216377	2.04680295785047e-08	1.16412757081417e-05	9.52483398448913
NDUFS8	-0.948699965122895	11.3715979177832	-8.88715035582472	2.09276745083263e-08	1.16590471323562e-05	9.50380605672847
C1ORF124	-0.352969555319256	6.98218459448398	-8.88080979568785	2.1171383217226e-08	1.16590471323562e-05	9.49284207600902
PYGL	0.634766777764079	7.30923920010445	8.83638431788971	2.29637091771997e-08	1.24484832217776e-05	9.41586128722317
CA12	0.774637943178348	6.69717587596991	8.81837361702388	2.37345608971368e-08	1.26684131656194e-05	9.38457180511926
JMJD1A	0.908932237800084	7.83529636669733	8.78986554562348	2.50100418591267e-08	1.31469453372809e-05	9.33495055377146
NDRG1	1.75580296618584	10.129755637378	8.75391307653732	2.67207176677166e-08	1.38365459516979e-05	9.27220532669642
RNF24	1.09221083573616	7.61311723197064	8.70797771665145	2.90846982894692e-08	1.48391841537477e-05	9.19176736163483
MGAT1	1.06068697538333	9.68932091601444	8.6959000160956	2.97415850074083e-08	1.4954413771696e-05	9.17056751970307
RNMT	0.873632528162972	8.8120976016695	8.65781152868593	3.19158192870233e-08	1.58183919191998e-05	9.10357350027472
CRELD2	-0.989673328050714	9.49030625237422	-8.62701777024106	3.37939137115707e-08	1.65133245395667e-05	9.04925708642872
BARX1	1.01424462167283	6.94660598757265	8.59991921901284	3.55414353793904e-08	1.70217704259363e-05	9.00134513815197
TMEM45A	1.10270127501273	6.92217989650333	8.595792341405	3.58156811291103e-08	1.70217704259363e-05	8.99403923204707
PUS3	-0.463609932457693	7.74148614859508	-8.5823894069821	3.67215915021022e-08	1.72164715618099e-05	8.97029469414714
ERRFI1	2.35538925199965	7.19604438110626	8.55875669825908	3.8377285177706e-08	1.77528204260711e-05	8.92836373767941
