geneSymbol	logFC	AveExpr	t	P.Value	adj.P.Val	B
DHRS9	-1.6184293304574	7.11343763094659	-15.0792226610115	1.95845734868141e-12	6.79467192551527e-08	17.5487244801896
LOC440731	-0.871568833997339	7.64122452947851	-13.6352802832486	1.25012656664939e-11	1.61901071206943e-07	16.0246998196929
LOC728816	-2.44070154059031	7.32142908239564	-13.5509345224271	1.39996314527247e-11	1.61901071206943e-07	15.9297836826904
CSF1R	-1.62498431134989	7.04018125440739	-12.8269043321096	3.78974590905714e-11	3.28703611422071e-07	15.0862050692295
FAM150B	-1.81976131853128	7.2798219695352	-11.8512387240432	1.55956467978438e-10	1.08215074000879e-06	13.8628425508798
CARD17	0.680873159613798	6.97965807319295	11.5998383668599	2.27822978779544e-10	1.31734840429625e-06	13.5304571162739
LOC285016	-1.84262488542398	7.17498453925193	-11.4820232783761	2.7268397962986e-10	1.35149971275405e-06	13.3721639044089
PLOD2	-1.83005348395436	7.1234956838868	-11.2292841982819	4.02864842506617e-10	1.74712410574057e-06	13.0270451165537
ZSWIM5	-0.371507043617963	6.72314665831992	-10.5071784975847	1.2745165968863e-09	4.9131198680415e-06	11.9978835300048
PERP	-1.44647113595029	7.51262072196617	-10.4051408099824	1.50658424009499e-09	5.22694336258556e-06	11.8471367743439
SVIL	-0.711251008272091	7.22917349025243	-10.2886495176145	1.82619106362814e-09	5.71497986551156e-06	11.6733814817442
IL23R	-1.00112386902821	6.90705321801634	-10.24096034422	1.97670370629327e-09	5.71497986551156e-06	11.6017366029068
FAM105A	0.864948806210364	7.54571633548656	10.1570858602014	2.27355727821914e-09	6.06759970850268e-06	11.4750014040977
C9ORF21	-0.877949601399505	7.7966389998273	-10.0804791414845	2.58528519105196e-09	6.29070352523043e-06	11.3584320585774
MGC87042	-1.14282212668804	6.91870923640265	-10.0503488456605	2.71979457192761e-09	6.29070352523043e-06	11.3123694725931
UBASH3A	1.08896923881099	8.07877682686815	9.79530950057222	4.19581475728602e-09	9.09809982433007e-06	10.9175711890182
CYP27B1	-0.566103797129904	7.07794206409754	-9.72262694002221	4.75420632457014e-09	9.33782748664593e-06	10.8034394893514
PALLD	-2.92908759781008	8.51826282106994	-9.71169340450273	4.84466751483331e-09	9.33782748664593e-06	10.7862080984314
