geneSymbol	logFC	AveExpr	t	P.Value	adj.P.Val	B
CARD17	0.572944437886556	6.97965807319295	9.76108806586709	4.44970157125378e-09	0.000154377946313079	9.61396759380456
PAPD5	-0.980288174152072	9.48504089659253	-8.53764119425759	3.9922110741033e-08	0.0006925288550247	7.94588231897658
DHRS9	-0.804898940663488	7.11343763094659	-7.49940088051096	2.98807730075394e-07	0.00345561179574524	6.34008064204971
SNORA12	-1.23571490993256	7.60039801509468	-7.20753259068718	5.40028549244167e-07	0.00468393762186928	5.85571098302129
PARP14	0.775246408661058	8.62971562941087	6.96577224161481	8.89376481518071e-07	0.00617120552995759	5.44344103804585
HERC3	0.432584360890369	7.19948879101619	6.72095468746628	1.48577750324548e-06	0.00859126078293309	5.01579211300008
PERP	-0.91407944516347	7.51262072196617	-6.57539933016911	2.02344972327095e-06	0.00879580781288118	4.7567272795881
SP110	0.819504316128489	9.03483887642659	6.57429867146473	2.02820264319621e-06	0.00879580781288118	4.75475473382218
NNAT	-0.342142490435172	6.8376538120557	-6.46492252783421	2.56275567022797e-06	0.00969159620487181	4.55772831957322
TUBB3	-2.04989242907826	8.44828122513522	-6.42480380266377	2.79345022334462e-06	0.00969159620487181	4.48496174147599
MEOX1	0.422657111377498	6.85262722148176	6.35160586835062	3.27093267636612e-06	0.0103165216612587	4.35151277473147
LGALS9	0.831255602855648	7.3930552761901	6.27883883352582	3.82906921067491e-06	0.0105541540999945	4.21797944769407
MLLT11	-0.666330119330683	8.29277152571499	-6.23457352697401	4.21558185295996e-06	0.0105541540999945	4.13632795373503
GBP1	1.1765942224895	9.28388809816789	6.2298747681334	4.25889656424518e-06	0.0105541540999945	4.12764204868635
SPSB1	-0.785135228917824	7.9268296993701	-6.12107930155845	5.40040056262983e-06	0.0124907664746586	3.9255366125431
EPSTI1	2.06658318231378	9.42419371607853	6.08210404173967	5.88201443718464e-06	0.0127372806098997	3.85267482019691
GPR56	-1.77354559008765	8.25915467765369	-6.05510743396543	6.24124547092564e-06	0.0127372806098997	3.80206578363208
LOC654346	0.426080608796507	6.96662081165185	5.97823452700378	7.3925006704854e-06	0.0142486343478789	3.65733137214872
NPW	-1.00889943534608	7.3230883639598	-5.92356529838721	8.34187971328331e-06	0.0145583962970837	3.55384406332727
FAM105A	0.504201569511756	7.54571633548656	5.92083438419555	8.39245765670357e-06	0.0145583962970837	3.54866247542036
RXRA	1.01597022209784	7.04759099601253	5.89531799451004	8.88048442276828e-06	0.0146714060268344	3.50019306840147
NAPSA	-2.01534613457259	8.90674108868865	-5.83845157718359	1.00754246836362e-05	0.0155643850572029	3.39181731773445
RCAN2	-1.76443474072061	7.97436719829158	-5.81298887739683	1.06626657534491e-05	0.0155643850572029	3.34313273850091
CXORF57	-0.504551159110632	7.74527959916028	-5.79796119800326	1.10255694806011e-05	0.0155643850572029	3.31435439590386
MX1	2.74254361878095	10.9542465715123	5.77422555965712	1.16247021066412e-05	0.0155643850572029	3.26883170461947
CTSL2	-0.713163635395211	7.33500796411263	-5.76150636161678	1.1959363183326e-05	0.0155643850572029	3.24440316626737
HIPK2	-0.624965650008043	8.00720131094276	-5.75579933613737	1.21127110320078e-05	0.0155643850572029	3.23343447439479
RNU6-1	-0.640094640890094	10.5336692886869	-5.72632974680194	1.29371739661305e-05	0.0160300826278905	3.17671885573101
NME4	-0.892966267911092	8.99350239397615	-5.69499759018665	1.38768723411363e-05	0.0166015244483925	3.11627950833932
CA2	-1.72798022171967	8.220160192524	-5.62162683793562	1.63601469480309e-05	0.0181779593766972	2.97419415238807
CD300A	0.670599069823442	7.21421330769955	5.60160947257358	1.71134484636502e-05	0.0181779593766972	2.93529654529967
ST3GAL5	0.694893535015422	7.69161521707277	5.59576486547683	1.73400097888046e-05	0.0181779593766972	2.9239286844703
ATP6V0A2	-0.505048229456996	8.24496161986347	-5.59283913183303	1.74545717107329e-05	0.0181779593766972	2.91823627825526
TMCO3	-0.594246557914806	7.85935964274544	-5.58377716731703	1.78143373150316e-05	0.0181779593766972	2.90059739027981
B4GALT5	-0.691244028490161	9.41828023788787	-5.54214715633856	1.9566953906946e-05	0.0193757449817359	2.8194183754167
KLHL9	0.540583618805993	7.9166236706424	5.52766342400736	2.02171907508494e-05	0.0193757449817359	2.79111863140398
PGBD1	-0.330198704628186	6.84603332133686	-5.5179927727606	2.0663589217854e-05	0.0193757449817359	2.77220710136359
TNIP3	-0.393298342663694	6.93984198260426	-5.3935672796812	2.73915886115477e-05	0.025008520402343	2.52775912862832
CYLD	0.366103622486051	7.28652362582716	5.33640429278283	3.11947995220808e-05	0.0265727932910857	2.41477229188417
RNU6-15	-0.631263751911129	10.5411129666546	-5.33201181595091	3.15084323597008e-05	0.0265727932910857	2.40607288621366
NRSN2	-0.487186833588487	7.12847022510372	-5.29587958328236	3.42133704800937e-05	0.0265727932910857	2.33441951902133
VAT1	-0.846781365465441	7.74378864446835	-5.2937997806382	3.43760848118593e-05	0.0265727932910857	2.33029009528618
PTGER2	2.01582146848687	8.18716419805418	5.26892087959882	3.6384703462747e-05	0.0265727932910857	2.28085160292375
C16ORF48	-0.554856355422956	8.34481615651378	-5.26746890262568	3.65055558853982e-05	0.0265727932910857	2.27796391682375
THBS1	-0.438858394241828	6.65183899487069	-5.26205073798505	3.69601450504413e-05	0.0265727932910857	2.26718599899754
GFOD2	-0.418446109438959	7.73899655629348	-5.25956493195502	3.71706308346403e-05	0.0265727932910857	2.26223997700415
SAE1	-0.430488473296116	12.194992440262	-5.25900268125706	3.72184084131079e-05	0.0265727932910857	2.2611211584121
WBP5	-0.51985021397534	7.35044146708239	-5.25547859416146	3.75192968899341e-05	0.0265727932910857	2.25410771940476
BCAT1	-1.48049217928111	8.70835606627593	-5.25535341354359	3.75300303010088e-05	0.0265727932910857	2.25385856400196
EPN1	-0.286082720768949	10.0649479551993	-5.23153893711053	3.96298916320481e-05	0.0274983892056456	2.20642421375822
