geneSymbol	logFC	AveExpr	t	P.Value	adj.P.Val	B
P4HA1	1.58597018553516	7.90720172000161	19.3713997641735	1.72916159855214e-14	5.99915325001681e-10	20.3387002285949
AK3L1	2.09894329364293	8.41001635160349	16.8511639816881	2.44741620460101e-13	3.04817661277818e-09	18.5453727517889
BNIP3	3.05544429539252	10.6327032511867	16.7850328906364	2.63576694481309e-13	3.04817661277818e-09	18.4928632109288
HS.10862	3.06899294802759	9.047474985281	16.2581085457793	4.80273544642911e-13	4.16565258946029e-09	18.0634154392981
LOC647349	1.46897905375737	9.57309063363227	16.0131807717547	6.38430495180078e-13	4.42994151995553e-09	17.8569117168653
PPFIA4	2.00388940531806	7.51578140976063	15.0876461660382	1.93825233957807e-12	1.12076211115536e-08	17.0347326338824
GPI	2.05007767311929	11.8473239957999	14.7665071271771	2.88824812070946e-12	1.43149828999848e-08	16.7331737079016
FAM57A	1.67106522488205	7.9811043155069	13.2961839621834	1.97753665292495e-11	8.57608207957228e-08	15.2347574915246
SDK2	0.97874377521205	6.84381728763562	13.0956432366577	2.60525187960501e-11	1.00429565234462e-07	15.0143407183905
ZNF395	2.58340052203564	9.83090882560007	12.8616421935286	3.60927093124879e-11	1.25220045688745e-07	14.7519519111611
PNCK	2.08604390139771	7.44345022676752	12.6568797296544	4.81934116341093e-11	1.52002020293981e-07	14.5176568537244
FGF11	2.20702116347102	7.59971760175956	12.5771146384384	5.39929055590894e-11	1.56102488788921e-07	14.4251810101822
BEND5	2.29503157466759	8.28529851882976	12.4712343708555	6.28381872633950e-11	1.67700620685864e-07	14.3013697320082
ANKRD37	2.99063997590351	8.94020421039375	11.4707930784176	2.77416218656632e-10	6.87477020719515e-07	13.0694399531068
BNIP3L	1.95624752396652	8.62183987707676	11.3894942666923	3.14332422405442e-10	7.27029937528961e-07	12.9641998742074
UPK1A	1.67213505046555	7.70441157973708	11.1802388992941	4.34889157805711e-10	9.43002777556958e-07	12.6896234636025
PFKFB4	3.60528913951963	9.56801604621851	11.1330224476961	4.68231535160314e-10	9.5557793416776e-07	12.6269232767379
ALDOA	1.23981093654067	11.0505070283414	10.9984352111468	5.78708006502113e-10	1.1070225588981e-06	12.44667721013
P4HA2	1.24301949595125	7.45094354781584	10.9690495889474	6.06255508706516e-10	1.1070225588981e-06	12.4070204655671
KDM5B	1.03921172422394	8.42000915339937	10.8709303836999	7.08561403731613e-10	1.22914146705323e-06	12.2738151038625
AP3S1	1.5320046216138	9.40741500042848	10.7903668791951	8.05960929212038e-10	1.33152421324202e-06	12.1635274376145
KISS1R	2.14109850998939	8.3018925857313	10.5620928158652	1.16534426871837e-09	1.83774791176887e-06	11.8464896439906
LOC100129169	0.694648953490919	7.00195477989247	10.5227702780081	1.24247746612168e-09	1.8526172959856e-06	11.7911915857873
YEATS2	0.92015300522889	8.52475470866707	10.5038004493624	1.28157073567921e-09	1.8526172959856e-06	11.7644422903167
JMJD1A	1.05411901277406	7.83529636669733	10.1939000577151	2.13792565277318e-09	2.96692770389251e-06	11.320686094246
SLC16A3	2.56042587501159	10.5705252619631	9.56544761920436	6.24240069110031e-09	8.32917162814777e-06	10.380537238269
LOC731007	0.851984653739999	7.15424814796558	9.5438397830393	6.48203245402633e-09	8.32917162814777e-06	10.3472281636001
WSB1	0.874457183073394	8.67143174824043	9.50450454797848	6.94312443971292e-09	8.60302711826429e-06	10.2864207785396
WDR54	1.1434884548412	11.3799298690678	9.39832066375659	8.3660810274344e-09	9.70467332829034e-06	10.1211666110487
MOBKL2A	0.958309175183633	9.45719825542365	9.39658848942134	8.39165849566813e-09	9.70467332829034e-06	10.1184573832207
PGM1	1.11804696737484	10.0903828162525	9.30279207156349	9.90542073255262e-09	1.0812354146686e-05	9.97110649681162
NCKIPSD	1.02763453682298	7.68377818582029	9.29897244801614	9.97277145022057e-09	1.0812354146686e-05	9.96507899446266
RNMT	0.931988750073186	8.8120976016695	9.23612924756391	1.11518496793813e-08	1.17243112962562e-05	9.86560557780389
NRN1	0.878500329512454	7.10299191355256	9.079170267809	1.47735403489668e-08	1.50750943784428e-05	9.61463648194149
C1ORF165	1.29497305196867	7.25589624400654	8.93731377439757	1.90993058078347e-08	1.89323233056291e-05	9.38469237626145
LOC644237	1.12797133277087	11.092093621332	8.79520606433775	2.47657968161238e-08	2.3040476840705e-05	9.15134003977042
HPCAL1	0.972139474687078	9.95811803961206	8.78967757920021	2.50186837762438e-08	2.3040476840705e-05	9.14220076632752
PPME1	0.762871274766133	8.19967856867334	8.78497264464126	2.5236009683138e-08	2.3040476840705e-05	9.13441931217387
EGLN1	0.820145476842588	7.4924589074836	8.73983492226568	2.74232600802681e-08	2.39763730719984e-05	9.05959742419414
GCHFR	0.88493480367112	9.79796599546029	8.7355034055218	2.7643250212715e-08	2.39763730719984e-05	9.05240123942804
EXOC3	1.44577162277134	8.69439131608929	8.5213147813259	4.11606914188515e-08	3.40958099848551e-05	8.69302253184067
MT3	2.95938424786093	8.64443971224294	8.51982289485995	4.12758407610513e-08	3.40958099848551e-05	8.69049495591809
PREB	-0.568028278336714	8.06748643330649	-8.4175724978454	5.00206620545079e-08	4.03585313795139e-05	8.5164523422117
LOC644774	1.75689131052043	11.6334172614496	8.40385402527343	5.13323287468336e-08	4.04755412168783e-05	8.49298036017291
MIF	1.13744313800825	12.7425538360265	8.35332914960419	5.64787815474726e-08	4.3543885489067e-05	8.40628504963165
DARS	0.547627298565939	12.0144654050244	8.3148969062436	6.07498896712748e-08	4.50463181240397e-05	8.3400773530904
ADM	3.97927038366914	9.0556956772449	8.31252429768462	6.10242967611075e-08	4.50463181240397e-05	8.33598260112455
PGK1	1.59253564041145	11.8052276501192	7.99921882568456	1.11376838181695e-07	8.05022504974108e-05	7.78764306883675
HK2	1.1657755729803	7.96782649375044	7.97067505360885	1.17728234327106e-07	8.33563951376451e-05	7.73693161397296
NELF	1.09237761955698	8.62148295156556	7.95372284506371	1.21676722354639e-07	8.44290441074371e-05	7.70675411080191
IGFBP2	2.45678099328248	7.64120165799259	7.90826404679682	1.32956122518416e-07	9.04466610716454e-05	7.62561020831937
CD300A	0.942686488760418	7.21421330769955	7.87439440752247	1.42059967217471e-07	9.38622695979534e-05	7.5649441340706
ARID3A	0.63177793794088	8.59161267279637	7.86964248104712	1.43387914010824e-07	9.38622695979534e-05	7.55641838468552
C7ORF68	3.35495706727502	9.70561521359672	7.75997496513609	1.77882657166656e-07	0.000114253368961636	7.35868008948217
LOC401152	1.11197620827093	8.10699161053652	7.75082388431704	1.81124554473107e-07	0.000114253368961636	7.34209538292711
ZNF653	0.581918710603833	7.99801772224531	7.70009910539892	2.00236767788059e-07	0.000124053828957838	7.24992911749547
C6ORF190	1.2496509548629	9.1659156358843	7.6439581808696	2.23839656689296e-07	0.000136243737704885	7.14745423709625
MGST2	0.729531522754169	10.1705118108701	7.52627559337265	2.83123580198884e-07	0.000169356715369312	6.9310518903282
DDX5	-0.580472348569376	11.4743250680495	-7.49348580653706	3.02378752531577e-07	0.000177808956615772	6.87037134707177
PNPLA7	1.43084860447246	8.29858138657069	7.47334473642799	3.14872501651404e-07	0.000182069776204897	6.83301536088005
PTPMT1	-0.53276394462045	9.33976677035484	-7.44236357627031	3.35141411107663e-07	0.000190613051097857	6.77543069899628
LOC284023	1.02413916913688	7.61617571592046	7.42837599942776	3.4472976512351e-07	0.000192904104374114	6.7493830135395
PIGK	-0.508880131311574	8.03676853297312	-7.27342680444376	4.72012339686062e-07	0.000259936446239178	6.45879997536499
P2RY11	1.27751186852234	8.67261173917749	7.19390607554295	5.55313541509168e-07	0.000301032000142486	6.30822337399643
LOC146439	0.667415178215632	7.00463796028428	7.12673610570773	6.374531332391e-07	0.00034024306160919	6.18027066996234
FBXL10	0.533979775421221	9.05974267473733	7.10252842742364	6.70045160440367e-07	0.00035222040600482	6.13398632734033
CCDC64B	0.628989246385818	6.88638763846568	7.0884240859588	6.89822518347049e-07	0.000357204514201978	6.10697756742952
LOC391075	1.02767862167849	12.5029725481512	7.00064451067416	8.27222640272451e-07	0.000422053857082536	5.93819762384167
NARF	1.15485626403543	10.3904775594807	6.99141626596245	8.4322144244473e-07	0.000423981517741702	5.92038503071904
MTP18	0.991348387973279	8.79822826085631	6.97392638080561	8.74424464577593e-07	0.000433389748200786	5.88658976976846
LOC286016	1.29839994878584	10.2890672688508	6.96241550499085	8.95607991169867e-07	0.000437636952755597	5.86432201333644
FAM80A	1.43003577131895	7.55212200480822	6.93898674763417	9.40374042160185e-07	0.000453129680815354	5.81893647989199
RASSF1	0.575890760026859	8.06249758433296	6.87407044461409	1.07686152928205e-06	0.000511789505437144	5.69274430057702
PSD4	0.919171059269482	9.39252867602199	6.85380222474601	1.12353587557717e-06	0.000526756130638843	5.65321289776533
HERC3	0.4406562511428	7.19948879101619	6.84636562122525	1.14117953741771e-06	0.000527894438282266	5.63869278111375
C1ORF51	0.607018326567982	6.84224835925693	6.78657433933987	1.29383199994112e-06	0.000590634307973121	5.5216441183742
MKNK2	1.16326453578646	10.4060926976494	6.70863873867506	1.52495422999935e-06	0.000687100805916851	5.36826452842986
RLF	0.927389720275102	7.8504887733313	6.69256262661784	1.57769785628132e-06	0.000701751915715696	5.33651254708542
HS.135282	0.445553845335902	6.83248883007037	6.67310350323901	1.6440620112205e-06	0.000722013764775749	5.29802692606523
INSIG2	1.55433717344171	8.95655888026365	6.65957946933742	1.69187191096307e-06	0.000733722550986909	5.27124614260601
C5ORF44	-0.305304059719233	7.09734576225734	-6.62410126371957	1.82421445399755e-06	0.000781349336629519	5.20086107943733
FSCN1	1.67934481334683	9.64803300896405	6.61076565439191	1.87667446559739e-06	0.000794016389139462	5.17435611255778
C1ORF124	-0.261704280251367	6.98218459448398	-6.58455070870806	1.98437278264425e-06	0.000829467823145295	5.12217598591678
RXRA	1.12749938301625	7.04759099601253	6.54248250285288	2.17067402375593e-06	0.00089654005452605	5.03822756699297
