geneSymbol	logFC	AveExpr	t	P.Value	adj.P.Val	B
CARD17	-0.561160170269797	6.97965807319295	-9.56032291938405	6.29838805159104e-09	0.000218516275061899	9.16126949868703
FAM150B	1.37115563627908	7.2798219695352	8.92968358426031	1.93663528140671e-08	0.000244817080013829	8.33541976634377
DHRS9	0.953168892936136	7.11343763094659	8.88086102966985	2.11694022033056e-08	0.000244817080013829	8.26889137133624
LOC285016	1.34292394189495	7.17498453925193	8.36821649588126	5.49090334071333e-08	0.000346471149704663	7.54705754236825
UBASH3A	-0.928174178107661	8.07877682686815	-8.348953322989	5.69489673641026e-08	0.000346471149704663	7.51909298397375
KBTBD11	2.49589147094557	9.05736187313284	8.32215008240016	5.99189167645119e-08	0.000346471149704663	7.48007975125571
RCAN2	2.42938559062466	7.97436719829158	8.0036915456798	1.10414215141896e-07	0.000547244397161847	7.00733701632182
TUBB3	2.42700852605303	8.44828122513522	7.60676676790027	2.41044450699857e-07	0.00104534952157261	6.39400043675683
SLC12A2	0.387103064900047	7.24629936163448	7.41449777686924	3.54523487704481e-07	0.00136664865360214	6.08715998079835
P2RY5	-0.930318629833055	8.64410210826752	-7.17439870024875	5.77976326839601e-07	0.00200523106833731	5.69499958281582
ZBP1	-1.13683172865113	7.33329339507436	-7.03567870063989	7.69279820681658e-07	0.00242630855442995	5.46386838315959
AK3L1	0.87001129147607	8.41001635160349	6.9848018205096	8.54884786408456e-07	0.00247161439830458	5.37826321842333
BNIP3	1.23655720429486	10.6327032511867	6.79300662641478	1.27644574128179e-06	0.00340653911907927	5.05152835789501
LGALS9	-0.869646460104856	7.3930552761901	-6.56882184780036	2.05202427576803e-06	0.00490277214133622	4.66160466967718
C9ORF21	0.568631246885945	7.7966389998273	6.52893447903255	2.23442936077165e-06	0.00490277214133622	4.5913310064281
LOC440731	0.416976417213648	7.64122452947851	6.52339792158087	2.26103517211563e-06	0.00490277214133622	4.5815553806718
IL17F	4.24187285156121	9.52768421521437	6.47400573911314	2.513300575028e-06	0.00512920295000125	4.49411677608165
HS.10862	1.1995409590487	9.047474985281	6.35461450957581	3.24974235646893e-06	0.00626369785085183	4.2810650167086
HS.66187	1.4327367741089	8.30002758807405	6.19882018290509	4.55689343297898e-06	0.00794690374727835	3.99948645343012
PRDX4	0.766100307395718	9.7523320089495	6.1804274167786	4.74339891572502e-06	0.00794690374727835	3.96598035292562
SLC25A4	1.19356516248201	8.33950580208314	6.17112893995053	4.84065026426964e-06	0.00794690374727835	3.9490203081316
FAM105A	-0.523948394689347	7.54571633548656	-6.15272117027477	5.03925412002432e-06	0.00794690374727835	3.9154037556766
PALLD	1.84307388339495	8.51826282106994	6.11090241574214	5.52211452545983e-06	0.00832974962375231	3.83882931152361
HS.415576	1.03269824910857	7.45248641563886	6.01769794625245	6.776576711268e-06	0.00979610635086384	3.66714898239459
ENPP2	1.02940302370388	7.29871779032961	5.90162075835477	8.75729764628076e-06	0.0117265467952469	3.45140885769255
ITGA3	0.404093142444885	6.91273568624776	5.89457644219748	8.8950941782809e-06	0.0117265467952469	3.43824839327465
CA2	1.80210426592565	8.220160192524	5.86277410976605	9.54537797252692e-06	0.0117265467952469	3.37873824134031
MAST4	0.785312763959892	7.44521215100795	5.85720081707035	9.6642571798386e-06	0.0117265467952469	3.36829310781512
TNFRSF8	1.25356111789726	7.79306336059995	5.85083123417166	9.80197893186607e-06	0.0117265467952469	3.35634975226961
EMP1	1.81097380006341	8.22138067035428	5.72277576647385	1.30404078408806e-05	0.0142773156820351	3.11492534822115
OSBP2	0.704283530577961	7.12289139834731	5.72255368077606	1.30468867472539e-05	0.0142773156820351	3.1145044982995
PAPD5	0.656584122795874	9.48504089659253	5.7183997543644	1.31686776337443e-05	0.0142773156820351	3.10663149769838
LOC728816	1.02652466431565	7.32142908239564	5.69933204878197	1.3742825175302e-05	0.0144482902009675	3.07045921045621
BCAT1	1.58314247962165	8.70835606627593	5.61973467394168	1.6429880574243e-05	0.0167652434306702	2.91888002322575
NAPSA	1.93523991423213	8.90674108868865	5.60638410228893	1.6930609113625e-05	0.016782587216803	2.89336561249904
CASP1	-0.726368362595077	7.81995911624577	-5.58236289766451	1.78711640756792e-05	0.0172228379567115	2.84739365427259
RTP4	-0.93742830028344	7.33627140190841	-5.43745064550111	2.47950883212482e-05	0.023025441844622	2.56832646929166
S100A6	0.909879703012994	12.4344160441808	5.42996536343274	2.52195419984907e-05	0.023025441844622	2.55383240637815
CD38	-1.3895547245127	8.77625949502526	-5.404153360524	2.67408892988254e-05	0.0237884208547038	2.50379319085901
CDC14B	0.580770114753153	7.22247779081631	5.38044806206569	2.82204442288435e-05	0.0244770023018874	2.45775891651138
PTPRN2	-0.307227167164349	6.82065409328822	-5.35811779018787	2.96904914696792e-05	0.0251239490499769	2.41432622809459
BATF	1.0231923643451	9.85375488315584	5.30635016570954	3.34060337831639e-05	0.0275949746684068	2.31338481635411
F12	0.698094071636311	7.62004136016824	5.17021655187259	4.56047206142886e-05	0.0367955855114448	2.04630568289038
RAB8B	-0.619759744659355	9.78266313456849	-5.15519116140513	4.72036206319883e-05	0.0372200548683228	2.01668721811205
P4HA1	0.418970965042745	7.90720172000161	5.11740644776744	5.14810469174665e-05	0.0396907431501019	1.94208571472024
TBC1D4	-0.501599721284594	7.35763251713779	-5.09636687851684	5.40315417687909e-05	0.0407515284810094	1.90047261348155
B4GALT5	0.627874920664919	9.41828023788787	5.03407633582025	6.23613039132389e-05	0.0460332569779981	1.776972671327
CYP27B1	0.292499876675659	7.07794206409754	5.02357905977329	6.3888432479876e-05	0.0461780265928504	1.75611720596357
SP110	-0.623946080630525	9.03483887642659	-5.00547441694222	6.66120398836453e-05	0.0471640430963917	1.72011915787488
HS.495112	-0.436052668988425	7.22212862902753	-4.97995995439665	7.06517180961028e-05	0.0490238141525238	1.66932710834272
IL9R	-0.557579531645461	6.94535152008353	-4.95671525439799	7.45481919280519e-05	0.0507132347206242	1.62299253164253
SAMHD1	-0.319471618698591	6.68768439672166	-4.93708243817556	7.80086398265937e-05	0.0520467644258431	1.58381311250712
KLHL22	-0.958851655595957	8.91633407537179	-4.88511532989757	8.7975607716907e-05	0.0572084016316289	1.47991481311165
SPSB1	0.625933400399458	7.9268296993701	4.8799083778474	8.90428802705932e-05	0.0572084016316289	1.4694894299253
PDE7B	-0.770104396376304	6.87391991971607	-4.86681088079876	9.17858577464171e-05	0.0578985190664399	1.44325364923259
KCTD6	0.38009567315498	7.97794018735723	4.8575302837673	9.37811511695646e-05	0.0581007724763727	1.42465331492028
PTGER2	-1.8459559790328	8.18716419805418	-4.82492926719694	0.000101145114296039	0.0609132472233611	1.3592475229474
PAFAH1B3	0.38030502368505	10.2214958689426	4.81645633250344	0.000103153103411654	0.0609132472233611	1.34223205579807
MAN1C1	-0.723812585526711	7.68847738833392	-4.80635486895817	0.000105599852184423	0.0609132472233611	1.32193732018425
ITM2B	-0.912950209962247	9.68112333143319	-4.80284195824342	0.000106464438768	0.0609132472233611	1.31487733482464
NKIRAS1	0.419363459987136	7.46097199582106	4.7952704792624	0.000108352350881572	0.0609132472233611	1.29965684396869
GATA3	-0.767901053112944	7.6769811841566	-4.7879421929333	0.000110211890890969	0.0609132472233611	1.28492018636345
MAPK12	0.407324064695334	6.79101007710187	4.78638604221182	0.000110610900301832	0.0609132472233611	1.28179024389641
SERPINB8	0.51906581728663	7.25894237521853	4.77607366277827	0.000113292274892128	0.0614150341423045	1.26104299306742
LOC650761	-0.478372741553054	7.15666972847658	-4.75103860496904	0.000120078692943905	0.0640924641999362	1.2106355969775
ST3GAL5	-0.58891468199687	7.69161521707277	-4.74234961217248	0.000122529010041703	0.0644094162785885	1.19312752952756
