geneSymbol	logFC	AveExpr	t	P.Value	adj.P.Val	B
P4HA1	-1.57862941220187	7.90720172000161	-34.7127736893099	8.33665833675579e-21	2.89232024335405e-16	34.09885180442
LOC647349	-1.37539151834463	9.57309063363227	-26.1631839582274	3.78182238706255e-18	6.5603272948374e-14	29.784597968867
ZNF395	-2.86404030305428	9.83090882560007	-23.5621465422493	3.55863645883068e-17	4.11544444342239e-13	28.0233981118229
BNIP3	-2.77492835605285	10.6327032511867	-21.8676170178335	1.74075254200712e-16	1.1412178005125e-12	26.725578555227
FAM57A	-1.57695576469935	7.9811043155069	-21.8410315083892	1.78624146571464e-16	1.1412178005125e-12	26.7041656966703
AK3L1	-1.98458606986531	8.41001635160349	-21.7384968840895	1.97362852455036e-16	1.1412178005125e-12	26.621262338582
ANKRD37	-3.08586899847267	8.94020421039375	-20.687740662591	5.6276471297463e-16	2.57025735265799e-12	25.7416137808437
BEND5	-2.37399926193141	8.28529851882976	-20.6127234285868	6.07593356309271e-16	2.57025735265799e-12	25.6766485536926
GPI	-1.87865884595302	11.8473239957999	-20.5221126838697	6.6675264235666e-16	2.57025735265799e-12	25.5977822815606
PPFIA4	-1.7230558572043	7.51578140976063	-19.7758947459476	1.45389185137628e-15	5.04413238916487e-12	24.9313575745876
KISS1R	-2.24085469822191	8.3018925857313	-19.376033961223	2.23205745802441e-15	7.039909222609e-12	24.5614104093108
PFKFB4	-3.53681023300527	9.56801604621851	-19.2918780163248	2.4452613571267e-15	7.0696581270128e-12	24.4823700569687
P4HA2	-1.2958776402985	7.45094354781584	-18.7152585145004	4.61328729077698e-15	1.23117991743243e-11	23.9294366702105
YEATS2	-0.964598309653457	8.52475470866707	-18.4718055006878	6.06283521709362e-15	1.50245717872747e-11	23.6898781946662
HS.10862	-2.73815366543431	9.047474985281	-17.7330650815124	1.41706818575602e-14	3.27758424244128e-11	22.9397769575791
NRN1	-0.902169260442435	7.10299191355256	-16.7507371522347	4.60288648356483e-14	9.01641407308709e-11	21.885227088499
KDM5B	-0.933036314560782	8.42000915339937	-16.738604507002	4.67207745416214e-14	9.01641407308709e-11	21.8717741865284
PPME1	-0.859974916531341	8.19967856867334	-16.7375901176479	4.67791126176191e-14	9.01641407308709e-11	21.8706489257184
UPK1A	-1.69261454909543	7.70441157973708	-16.4744168759445	6.48061684256362e-14	1.18336063545212e-10	21.5761512401172
AP3S1	-1.35680412494375	9.40741500042848	-16.3250537623229	7.81311901553305e-14	1.35534175562452e-10	21.4067137289238
MT3	-3.13504559147926	8.64443971224294	-16.0459790226015	1.11242023348226e-13	1.83782417049684e-10	21.0855842622423
FGF11	-1.83852424328242	7.59971760175956	-15.921992893283	1.30367371211303e-13	2.05589344400224e-10	20.9409826093127
ALDOA	-1.19862349673712	11.0505070283414	-15.8379522165914	1.45254539058933e-13	2.19106999048288e-10	20.8422827316402
PGM1	-1.11652388288194	10.0903828162525	-15.6934041507744	1.75144216169204e-13	2.53185559823931e-10	20.671211961324
ADM	-4.2407106442143	9.0556956772449	-15.4077865071876	2.54590227916637e-13	3.40197004774032e-10	20.328244087599
JMJD1A	-0.929742003112715	7.83529636669733	-15.4067262217448	2.54946737883347e-13	3.40197004774032e-10	20.3269585168061
PNCK	-1.79712138360698	7.44345022676752	-15.2632230208387	3.08337551267763e-13	3.9620233346977e-10	20.1521080246648
MOBKL2A	-0.9894747060928	9.45719825542365	-15.1583706106341	3.54627865009675e-13	4.39409255308774e-10	20.0232684260884
C7ORF68	-3.80892873651856	9.70561521359672	-15.0798103994887	3.94018332682975e-13	4.71381794279418e-10	19.9261308449111
ARID3A	-0.710126774204978	8.59161267279637	-14.7610745928834	6.06957915797072e-13	7.01926597688787e-10	19.5266242353037
MGST2	-0.756666608036209	10.1705118108701	-14.0993719749648	1.52609687505093e-12	1.70794854783926e-09	18.6686846254506
SLC16A3	-2.40270673619738	10.5705252619631	-13.975469339753	1.82075668157881e-12	1.97404163470922e-09	18.5036079148695
EGLN1	-0.742115050939225	7.4924589074836	-13.8376338115291	2.21916309444237e-12	2.33308013329042e-09	18.3182805201392
PIGK	0.598964839000571	8.03676853297312	13.7222597411178	2.62211600528442e-12	2.67563802021581e-09	18.1617714439985
PREB	0.531546717936738	8.06748643330649	13.6300272498081	2.99868727490508e-12	2.97247018044448e-09	18.0357392079778
WSB1	-0.817723633405167	8.67143174824043	-13.5492031343835	3.3748982368238e-12	3.2524644285657e-09	17.9246214618448
BNIP3L	-1.5430600543656	8.62183987707676	-13.4257210059409	4.04718261061935e-12	3.79494468899534e-09	17.7536293389152
C5ORF44	0.387233278840912	7.09734576225734	13.3834814456471	4.3079567737054e-12	3.93316453439303e-09	17.6947948223161
LOC644237	-0.987379858189382	11.092093621332	-13.3053046955916	4.83772273647587e-12	4.22915650734061e-09	17.5854392678798
FAM80A	-1.56075751524564	7.55212200480822	-13.3000122059431	4.87595146981105e-12	4.22915650734061e-09	17.5780141021534
WDR54	-0.961661194178921	11.3799298690678	-13.2536150705301	5.2248407050217e-12	4.42123471756153e-09	17.5128012847385
HPCAL1	-0.899424413980778	9.95811803961206	-13.0163419422702	7.46213833550864e-12	6.16408160505088e-09	17.1759261777369
LOC731007	-0.788025671686331	7.15424814796558	-12.9638445720541	8.07994670453183e-12	6.51920165039599e-09	17.1006200613682
STC2	-1.72705558662516	7.85609826476859	-12.7632219255744	1.09757570659614e-11	8.65438444651054e-09	16.8102184328155
DDX5	0.652860746431415	11.4743250680495	12.6786935265895	1.25016279572469e-11	9.63847734108274e-09	16.6866102737076
