geneSymbol	logFC	AveExpr	t	P.Value	adj.P.Val	B
PPP1R3C	-1.15223826439024	6.85491351530469	-6.2842761635692	3.78416880732176e-06	0.131287952601221	1.66229817578787
LOC144383	-0.40917436528594	6.61098902048383	-5.40039450773602	2.6970112581519e-05	0.269767960299779	0.670363470068692
ZSWIM5	-0.269554871843908	6.72314665831992	-5.39077549681617	2.75658667084856e-05	0.269767960299779	0.658836074812981
GATM	-1.24417642480099	6.93702751901352	-5.33770483888167	3.11025491785068e-05	0.269767960299779	0.594958863371355
HMGCL	-0.663677959135871	7.81019216068642	-5.1511910186324	4.76388171523021e-05	0.330556224456394	0.366780358008635
HERC3	-0.453203942293224	7.19948879101619	-4.97896225717304	7.08146388241183e-05	0.40947384656066	0.151096775951344
MMP12	-0.413956282625576	6.60540050948646	-4.85775824586069	9.37316176340435e-05	0.456004690744503	-0.00345971239661402
CCDC141	0.213577462734407	6.46326965915939	4.74940505753924	0.000120535544550858	0.456004690744503	-0.143498446145108
C19ORF10	0.518220135833811	9.37493152058622	4.64434416936158	0.000153930514414341	0.456004690744503	-0.2809060535887
BOLA1	-0.323510113912305	7.16743474907872	-4.59863232667245	0.0001712451665805	0.456004690744503	-0.341174773534299
HS.561603	-0.29861229777248	6.73748862842922	-4.56143150486608	0.000186778037654674	0.456004690744503	-0.390432480939258
ODF1	-1.44634667099926	7.07344630215353	-4.54385988672945	0.000194601648330311	0.456004690744503	-0.413763720074103
HS.575603	0.235837050109658	6.88534907868596	4.54210486456556	0.00019540098442556	0.456004690744503	-0.416096259361684
GPR61	-0.282733461696945	6.59511336759833	-4.54146928396691	0.000195691279427715	0.456004690744503	-0.41694108830608
LOC648705	-0.358065788364961	7.47162261703495	-4.45434462950306	0.000239893864109518	0.456004690744503	-0.533248485705147
DTNA	-0.254342668527642	6.63461107774859	-4.45213921636688	0.000241134702668079	0.456004690744503	-0.53620526828047
HS.10862	1.18527610683316	9.047474985281	4.43995593853657	0.000248106768355562	0.456004690744503	-0.552550358340921
DEFB113	-0.247982482823044	6.49663920775436	-4.40668865654376	0.000268195421090393	0.456004690744503	-0.597276189550882
SLC8A3	-0.186174681243046	6.57703053509762	-4.40392387465711	0.000269936856199653	0.456004690744503	-0.600999432092121
CA12	-0.544610270974156	6.69717587596991	-4.38389919349857	0.000282893808703373	0.456004690744503	-0.627993926767521
LOC645732	0.234938060682898	6.57157920095896	4.36664422515832	0.000294559203987222	0.456004690744503	-0.651293677421782
CAB39	0.541540304734397	11.5654787298394	4.31074247457613	0.000335777168723942	0.456004690744503	-0.727021895524849
HELZ	-0.493977657785116	7.86636058328919	-4.31037504420706	0.000336066422142445	0.456004690744503	-0.72752084846412
C13ORF16	-1.75123884569475	7.28243905549887	-4.28679138495194	0.000355165275401247	0.456004690744503	-0.759578696549952
ZNF140	-0.226951344948303	6.87281913597894	-4.27938756764365	0.000361383005253785	0.456004690744503	-0.769655930279108
C1ORF113	-0.238635669148478	6.6210123162892	-4.26488991351345	0.000373876277920489	0.456004690744503	-0.789406332016475
HS.566573	-0.300874058441203	6.69962154044682	-4.25458585107147	0.000383018318416316	0.456004690744503	-0.803457975248111
MIR154	0.176734560174486	6.5123784851636	4.22829235516111	0.000407375581218317	0.456004690744503	-0.83936730726291
TRIM42	0.219992992595704	6.54061378506144	4.21767133206617	0.000417649437680519	0.456004690744503	-0.853893842975244
PYGL	-0.427602169242745	7.30923920010445	-4.20906186848115	0.000426167767157506	0.456004690744503	-0.865678011039864
AKR7A2	-0.533289122996145	10.1568674516015	-4.2037298207017	0.000431530455577117	0.456004690744503	-0.87298018568067
YWHAH	0.565761600359588	11.9986845747294	4.19963571110788	0.000435693938916013	0.456004690744503	-0.878589062099572
LOC440731	-0.37947993813015	7.64122452947851	-4.1979397459277	0.000437430409031297	0.456004690744503	-0.88091303032304
MGC87042	-0.67321101168589	6.91870923640265	-4.1863806001811	0.000449451725143184	0.456004690744503	-0.896760484027232
CMTM2	0.245850052329808	6.50846935787095	4.17646545415746	0.000460026637921762	0.456004690744503	-0.910365134705346
RPGRIP1	-0.1797496170764	6.45044938047161	-4.15912936757227	0.000479118481687889	0.46173712787999	-0.934176459938275
GPRIN3	0.553459375270223	7.6015078299572	4.12010537953311	0.000525047176477083	0.488012213075675	-0.987887373572495
