geneSymbol	logFC	AveExpr	t	P.Value	adj.P.Val	B
ZSWIM5	0.382819999505242	6.72314665831992	7.65594277301383	2.18570191972775e-07	0.00758307424030347	4.76358972175684
CSF1R	1.25185966073345	7.04018125440739	6.98736339819204	8.50348310365477e-07	0.0100185511154911	3.95050166437083
SDK2	-0.737588078787811	6.84381728763562	-6.97841371758926	8.66306950667934e-07	0.0100185511154911	3.93907744874891
PLOD2	1.43788151095672	7.1234956838868	6.23873290132486	4.1776167535038e-06	0.0362345589115152	2.94454032392002
LOC652470	-0.255521900440812	6.68625736883287	-6.04631625120057	6.36301969160558e-06	0.03793957543382	2.66950518255952
PPP1R3C	1.10604971633725	6.85491351530469	6.03236507839716	6.56129165281951e-06	0.03793957543382	2.64930393848167
MGC87042	0.945894148107143	6.91870923640265	5.88206794411169	9.14527441432448e-06	0.0453265929329391	2.4294644210925
CA12	0.707774272654126	6.69717587596991	5.69730544654875	1.380533418438e-05	0.0593260730584502	2.15373029767183
C13ORF16	2.30766496303684	7.28243905549887	5.64884584830987	1.53898269881262e-05	0.0593260730584502	2.0804242479067
LOC728816	1.41417687627466	7.32142908239564	5.55192135229557	1.91402492226615e-05	0.0664051806531017	1.93259332873617
ZBTB17	0.705705631479028	8.07450249241056	5.418775361067	2.58679347227287e-05	0.0815874661154862	1.72692615619767
JPH3	1.0998396597149	6.78184570771197	5.34446060455072	3.06278013950559e-05	0.0825767823522814	1.61085609609644
MMP12	0.450496715934928	6.60540050948646	5.28655857735941	3.49487771442437e-05	0.0825767823522814	1.51979861388678
PYGL	0.537003541015798	7.30923920010445	5.28594401598044	3.4997826609767e-05	0.0825767823522814	1.51882925705988
ANKRD20A1	0.966817508674114	6.98332616459093	5.25882355673254	3.72336427493599e-05	0.0825767823522814	1.4759917682688
ODF1	1.67078587312935	7.07344630215353	5.24896075087009	3.80823346295182e-05	0.0825767823522814	1.4603842148765
LOC440731	0.45459241678369	7.64122452947851	5.02886024493626	6.31154452743139e-05	0.124867701818348	1.10816210265861
ERRFI1	1.95280053104812	7.19604438110626	5.01754040539238	6.47840731172615e-05	0.124867701818348	1.08984962959042
HELZ	0.570001225445171	7.86636058328919	4.97374530731324	7.16727780653974e-05	0.130874492747416	1.0188248791324
RAB13	0.681239782296508	7.26447642754585	4.94883314961258	7.59183777141688e-05	0.131695609820769	0.978300107040043
HS.444249	-0.23566154143588	6.62472368843433	-4.8404043465433	9.75792598885102e-05	0.161210230598665	0.800901930349414
FOXN2	-0.465766428346104	9.45258121268627	-4.81750720505658	0.000102901882273573	0.162276268345425	0.763234101880767
MFHAS1	0.704728042048126	7.63861136819878	4.79059868723994	0.000109534107098502	0.165225057029367	0.718877672696289
TNFRSF21	0.510428921271895	6.70564512680546	4.74078741179627	0.000122974888211724	0.16650740957215	0.636517216163366
DTNA	0.270508291125437	6.63461107774859	4.73511022843207	0.000124609113014855	0.16650740957215	0.62710992333588
STC1	1.1205742477726	6.87786919065981	4.73451345020005	0.000124782171236407	0.16650740957215	0.626120801482379
SVIL	0.457034493982651	7.22917349025243	4.67486914938903	0.000143363277435392	0.184216501753462	0.527037563789839
RBM44	0.280777713450854	6.58736818030903	4.59658468177777	0.000172065222848912	0.203061661284962	0.396327360189234
C1ORF113	0.256088143324352	6.6210123162892	4.57680003719334	0.000180195726269871	0.203061661284962	0.363178649670968
CRABP2	0.72070494286257	6.87844556728484	4.5577022824173	0.000188411489976341	0.203061661284962	0.331138171359669
PERP	0.895427332161129	7.51262072196617	4.55463457745426	0.000189765982426426	0.203061661284962	0.325987592080785
C15ORF48	1.44175082122718	7.32612229221023	4.54813400075447	0.00019266873841358	0.203061661284962	0.315069823196774
HS.559770	0.621597012078174	6.90135264683466	4.5218650761584	0.000204862054815547	0.203061661284962	0.270902886866543
HS.566573	0.319572977419599	6.69962154044682	4.51900265233371	0.000206236859867562	0.203061661284962	0.266085573272131
BARX1	0.753029599424702	6.94660598757265	4.51490595041852	0.000208220673949541	0.203061661284962	0.259189469965324
KRTAP20-3	-0.289846480676134	6.6170694717899	-4.50982957355817	0.000210705591925365	0.203061661284962	0.250641706374171
CRYBG3	0.237800609856841	6.6450565986867	4.45706518991906	0.000238372037924643	0.223515661723178	0.161631597378113
CHFR	-0.448279080425946	9.5967801328577	-4.43658079628814	0.0002500738902983	0.226004610697679	0.126997083053114
ANO6	0.871706360824508	8.19389204665842	4.41051726925132	0.000265802560049501	0.226004610697679	0.0828678428135801
EDN1	0.509679388021727	6.65464663961523	4.40335864508296	0.000270294271483481	0.226004610697679	0.0707354014546189
OSAP	0.348399922411885	6.66730809271917	4.3994146666143	0.000272801475849381	0.226004610697679	0.0640489841709471
