geneSymbol	logFC	AveExpr	t	P.Value	adj.P.Val	B
ZNF395	3.0043601935636	9.83090882560007	16.3705950073564	8.0115217457343e-14	2.77951735446506e-09	20.6634158992947
P4HA1	1.57495902553522	7.90720172000161	14.1698153672831	1.48201111485378e-12	2.57084468093686e-08	18.1977296090435
LOC647349	1.32859775063827	9.57309063363227	13.6418834419534	3.15312189438952e-12	3.32304045701647e-08	17.5411014307902
KDM5B	0.879948609729206	8.42000915339937	13.414716150654	4.39503969097659e-12	3.32304045701647e-08	17.2500672432847
PPFIA4	1.58263908314742	7.51578140976063	13.3564733401054	4.78907081486203e-12	3.32304045701647e-08	17.1746062210887
NRN1	0.914003725907427	7.10299191355256	13.1853032262533	6.17427713315029e-12	3.57017284762527e-08	16.9508124727488
C5ORF44	-0.428197888401747	7.09734576225734	-12.7950744676127	1.11270839849783e-11	5.51490073964053e-08	16.4291221355514
MOBKL2A	1.00505747154739	9.45719825542365	12.54966508864	1.62315537904057e-11	7.0392190900542e-08	16.0926512236511
PFKFB4	3.5025707797481	9.56801604621851	12.3658106001383	2.16185449659333e-11	7.52307497064168e-08	15.836225489065
JMJD1A	0.867553498282045	7.83529636669733	12.3230900583832	2.31179339783947e-11	7.52307497064168e-08	15.7761010638191
BEND5	2.41348310556332	8.28529851882976	12.3032007104942	2.38524888098975e-11	7.52307497064168e-08	15.7480388708336
YEATS2	0.986820961865737	8.52475470866707	12.0145027300095	3.77232417693786e-11	1.09064179162235e-07	15.3356392436094
GPI	1.79294943236989	11.8473239957999	11.7409412947128	5.8691274935514e-11	1.56633468662517e-07	14.9359536027379
PGM1	1.1157623406355	10.0903828162525	11.3846294059838	1.05585837801147e-10	2.57868581930887e-07	14.4020125712497
BNIP3	2.63467038638302	10.6327032511867	11.3397156071607	1.13805457629525e-10	2.57868581930887e-07	14.3336150298049
ADM	4.37143077448687	9.0556956772449	11.3134249225388	1.18922502763999e-10	2.57868581930887e-07	14.2934629733279
BNIP3L	1.33646631956515	8.62183987707676	11.2001431978905	1.43857776249256e-10	2.93588334658334e-07	14.1194791503399
AK3L1	1.92740745797651	8.41001635160349	11.0868398605344	1.74268436804067e-10	3.24859631107939e-07	13.9438661119399
PIGK	-0.644007192845066	8.03676853297312	-11.0746772861818	1.779077935969e-10	3.24859631107939e-07	13.9249193887579
EGLN1	0.703099837987549	7.4924589074836	10.9016509193469	2.39140909833575e-10	3.96589617931569e-07	13.6533590152076
ANKRD37	3.13348350975724	8.94020421039375	10.8796702137394	2.48356440905686e-10	3.96589617931569e-07	13.6185888749421
C7ORF68	4.03591457114033	9.70561521359672	10.8724032061167	2.51483587781591e-10	3.96589617931569e-07	13.6070800106538
FGF11	1.65427578318812	7.59971760175956	10.6296372019863	3.83284818619445e-10	5.54269999742894e-07	13.2187068159471
P4HA2	1.32230671247213	7.45094354781584	10.629431066241	3.8342307009366e-10	5.54269999742894e-07	13.2183738028424
HS.10862	2.57273402413768	9.047474985281	10.5371900659396	4.50789498632127e-10	6.2558763462172e-07	13.068801540869
ALDOA	1.17802977683536	11.0505070283414	10.4964181123174	4.84373043585616e-10	6.46339937467668e-07	13.0023331011395
