	B_ThCSE - FS_ThCSE	B_Th - FS_Th	diff_ThCSE_Th	pattern
7A5	0	0	0	0x0x0
A1BG	0	0	0	0x0x0
A1CF	0	0	0	0x0x0
A26C3	0	0	0	0x0x0
A2BP1	0	0	0	0x0x0
A2LD1	0	0	0	0x0x0
A2M	0	0	0	0x0x0
A2ML1	0	0	0	0x0x0
A3GALT2	0	0	0	0x0x0
A4GALT	0	0	0	0x0x0
A4GNT	0	0	0	0x0x0
AAA1	0	0	0	0x0x0
AAAS	0	0	0	0x0x0
AACS	0	0	0	0x0x0
AACSL	0	0	0	0x0x0
AADAC	0	0	0	0x0x0
AADACL1	0	0	0	0x0x0
AADACL2	0	0	0	0x0x0
AADACL3	0	0	0	0x0x0
AADACL4	0	0	0	0x0x0
AADAT	0	0	0	0x0x0
AAGAB	0	0	0	0x0x0
AAK1	0	0	0	0x0x0
AAMP	0	0	0	0x0x0
AANAT	0	0	0	0x0x0
AARS	0	0	0	0x0x0
AARS2	0	0	0	0x0x0
AARSD1	0	0	0	0x0x0
AASDH	0	0	0	0x0x0
AASDHPPT	0	0	0	0x0x0
AASS	0	0	0	0x0x0
AATF	0	0	0	0x0x0
AATK	0	0	0	0x0x0
ABAT	0	0	0	0x0x0
ABCA1	1	1	0	1x1x0
ABCA10	0	0	0	0x0x0
ABCA11	0	0	0	0x0x0
ABCA12	0	0	0	0x0x0
ABCA13	0	0	0	0x0x0
ABCA2	0	0	0	0x0x0
ABCA3	0	0	0	0x0x0
ABCA4	0	0	0	0x0x0
ABCA5	0	0	0	0x0x0
ABCA6	0	0	0	0x0x0
ABCA7	0	0	0	0x0x0
ABCA8	0	0	0	0x0x0
ABCA9	0	0	0	0x0x0
ABCB1	0	0	0	0x0x0
ABCB10	0	0	0	0x0x0
ABCB11	0	0	0	0x0x0
ABCB4	0	0	0	0x0x0
ABCB5	0	0	0	0x0x0
ABCB6	1	1	0	1x1x0
ABCB7	0	0	0	0x0x0
ABCB8	0	0	0	0x0x0
ABCB9	0	1	0	0x1x0
ABCC1	0	0	0	0x0x0
ABCC10	0	0	0	0x0x0
ABCC11	0	0	0	0x0x0
ABCC12	0	0	0	0x0x0
ABCC13	0	0	0	0x0x0
